match_id,date,season,matchday,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,result
77366,2025-12-06T17:30:00Z,2025,13,1635,RB Leipzig,91,Eintracht Frankfurt,6,0,0
77372,2025-12-07T14:30:00Z,2025,13,100,Hamburger SV,134,SV Werder Bremen,3,2,0
77364,2025-12-07T16:30:00Z,2025,13,7,Borussia Dortmund,175,TSG Hoffenheim,2,0,0
77379,2025-12-12T19:30:00Z,2025,14,80,1. FC Union Berlin,1635,RB Leipzig,3,1,0
77375,2025-12-13T14:30:00Z,2025,14,91,Eintracht Frankfurt,95,FC Augsburg,1,0,0
77378,2025-12-13T14:30:00Z,2025,14,87,Borussia Mönchengladbach,131,VfL Wolfsburg,1,3,2
77380,2025-12-13T14:30:00Z,2025,14,98,FC St. Pauli,199,1. FC Heidenheim 1846,2,1,0
77381,2025-12-13T14:30:00Z,2025,14,175,TSG Hoffenheim,100,Hamburger SV,4,1,0
77374,2025-12-13T17:30:00Z,2025,14,6,Bayer 04 Leverkusen,65,1. FC Köln,2,0,0
77376,2025-12-14T14:30:00Z,2025,14,112,SC Freiburg,7,Borussia Dortmund,1,1,1
77373,2025-12-14T16:30:00Z,2025,14,40,FC Bayern München,81,1. FSV Mainz 05,2,2,1
77377,2025-12-14T18:30:00Z,2025,14,134,SV Werder Bremen,16,VfB Stuttgart,0,4,2
77385,2025-12-20T14:30:00Z,2025,15,16,VfB Stuttgart,175,TSG Hoffenheim,0,0,1
77384,2025-12-20T17:30:00Z,2025,15,1635,RB Leipzig,6,Bayer 04 Leverkusen,1,3,2
77382,2025-12-19T19:30:00Z,2025,15,7,Borussia Dortmund,87,Borussia Mönchengladbach,2,0,0
77386,2025-12-20T14:30:00Z,2025,15,131,VfL Wolfsburg,112,SC Freiburg,3,4,2
77387,2025-12-20T14:30:00Z,2025,15,95,FC Augsburg,134,SV Werder Bremen,0,0,1
77389,2025-12-20T14:30:00Z,2025,15,65,1. FC Köln,80,1. FC Union Berlin,0,1,2
77390,2025-12-20T14:30:00Z,2025,15,100,Hamburger SV,91,Eintracht Frankfurt,1,1,1
77383,2025-12-21T14:30:00Z,2025,15,81,1. FSV Mainz 05,98,FC St. Pauli,0,0,1
77388,2025-12-21T16:30:00Z,2025,15,199,1. FC Heidenheim 1846,40,FC Bayern München,0,4,2
77395,2026-01-27T19:30:00Z,2025,16,134,SV Werder Bremen,175,TSG Hoffenheim,0,2,2
77393,2026-01-09T19:30:00Z,2025,16,91,Eintracht Frankfurt,7,Borussia Dortmund,3,3,1
77394,2026-01-10T14:30:00Z,2025,16,112,SC Freiburg,100,Hamburger SV,2,1,0
77398,2026-01-10T14:30:00Z,2025,16,80,1. FC Union Berlin,81,1. FSV Mainz 05,2,2,1
77400,2026-01-10T14:30:00Z,2025,16,199,1. FC Heidenheim 1846,65,1. FC Köln,2,2,1
77392,2026-01-10T17:30:00Z,2025,16,6,Bayer 04 Leverkusen,16,VfB Stuttgart,1,4,2
77397,2026-01-11T14:30:00Z,2025,16,87,Borussia Mönchengladbach,95,FC Augsburg,4,0,0
77391,2026-01-11T16:30:00Z,2025,16,40,FC Bayern München,131,VfL Wolfsburg,8,1,0
77399,2026-01-27T19:30:00Z,2025,16,98,FC St. Pauli,1635,RB Leipzig,1,1,1
77404,2026-01-13T17:30:00Z,2025,17,16,VfB Stuttgart,91,Eintracht Frankfurt,3,2,0
77401,2026-01-13T19:30:00Z,2025,17,7,Borussia Dortmund,134,SV Werder Bremen,3,0,0
77402,2026-01-13T19:30:00Z,2025,17,81,1. FSV Mainz 05,199,1. FC Heidenheim 1846,2,1,0
77405,2026-01-14T17:30:00Z,2025,17,131,VfL Wolfsburg,98,FC St. Pauli,2,1,0
77403,2026-01-14T19:30:00Z,2025,17,1635,RB Leipzig,112,SC Freiburg,2,0,0
77407,2026-01-14T19:30:00Z,2025,17,175,TSG Hoffenheim,87,Borussia Mönchengladbach,5,1,0
77408,2026-01-14T19:30:00Z,2025,17,65,1. FC Köln,40,FC Bayern München,1,3,2
77406,2026-01-15T19:30:00Z,2025,17,95,FC Augsburg,80,1. FC Union Berlin,1,1,1
77409,2026-03-04T19:30:00Z,2025,17,100,Hamburger SV,6,Bayer 04 Leverkusen,0,1,2
77412,2026-01-16T19:30:00Z,2025,18,134,SV Werder Bremen,91,Eintracht Frankfurt,3,3,1
77410,2026-01-17T14:30:00Z,2025,18,7,Borussia Dortmund,98,FC St. Pauli,3,2,0
77414,2026-01-17T14:30:00Z,2025,18,131,VfL Wolfsburg,199,1. FC Heidenheim 1846,1,1,1
77416,2026-01-17T14:30:00Z,2025,18,175,TSG Hoffenheim,6,Bayer 04 Leverkusen,1,0,0
77417,2026-01-17T14:30:00Z,2025,18,65,1. FC Köln,81,1. FSV Mainz 05,2,1,0
77418,2026-01-17T14:30:00Z,2025,18,100,Hamburger SV,87,Borussia Mönchengladbach,0,0,1
77411,2026-01-17T17:30:00Z,2025,18,1635,RB Leipzig,40,FC Bayern München,1,5,2
77413,2026-01-18T14:30:00Z,2025,18,16,VfB Stuttgart,80,1. FC Union Berlin,1,1,1
77415,2026-01-18T16:30:00Z,2025,18,95,FC Augsburg,112,SC Freiburg,2,2,1
77422,2026-01-25T16:30:00Z,2025,19,112,SC Freiburg,65,1. FC Köln,2,1,0
77426,2026-01-23T19:30:00Z,2025,19,98,FC St. Pauli,100,Hamburger SV,0,0,1
77419,2026-01-24T14:30:00Z,2025,19,40,FC Bayern München,95,FC Augsburg,1,2,2
77420,2026-01-24T14:30:00Z,2025,19,6,Bayer 04 Leverkusen,134,SV Werder Bremen,1,0,0
77421,2026-01-24T14:30:00Z,2025,19,91,Eintracht Frankfurt,175,TSG Hoffenheim,1,3,2
77423,2026-01-24T14:30:00Z,2025,19,81,1. FSV Mainz 05,131,VfL Wolfsburg,3,1,0
77427,2026-01-24T14:30:00Z,2025,19,199,1. FC Heidenheim 1846,1635,RB Leipzig,0,3,2
77425,2026-01-24T17:30:00Z,2025,19,80,1. FC Union Berlin,7,Borussia Dortmund,0,3,2
77424,2026-01-25T14:30:00Z,2025,19,87,Borussia Mönchengladbach,16,VfB Stuttgart,0,3,2
77434,2026-01-31T14:30:00Z,2025,20,175,TSG Hoffenheim,80,1. FC Union Berlin,3,1,0
77435,2026-01-30T19:30:00Z,2025,20,65,1. FC Köln,131,VfL Wolfsburg,1,0,0
77428,2026-01-31T14:30:00Z,2025,20,91,Eintracht Frankfurt,6,Bayer 04 Leverkusen,1,3,2
77430,2026-01-31T14:30:00Z,2025,20,1635,RB Leipzig,81,1. FSV Mainz 05,1,2,2
77431,2026-01-31T14:30:00Z,2025,20,134,SV Werder Bremen,87,Borussia Mönchengladbach,1,1,1
77433,2026-01-31T14:30:00Z,2025,20,95,FC Augsburg,98,FC St. Pauli,2,1,0
77436,2026-01-31T17:30:00Z,2025,20,100,Hamburger SV,40,FC Bayern München,2,2,1
77432,2026-02-01T14:30:00Z,2025,20,16,VfB Stuttgart,112,SC Freiburg,1,0,0
77429,2026-02-01T16:30:00Z,2025,20,7,Borussia Dortmund,199,1. FC Heidenheim 1846,3,2,0
77442,2026-02-06T19:30:00Z,2025,21,80,1. FC Union Berlin,91,Eintracht Frankfurt,1,1,1
77438,2026-02-07T14:30:00Z,2025,21,112,SC Freiburg,134,SV Werder Bremen,1,0,0
77439,2026-02-07T14:30:00Z,2025,21,81,1. FSV Mainz 05,95,FC Augsburg,2,0,0
77441,2026-02-07T14:30:00Z,2025,21,131,VfL Wolfsburg,7,Borussia Dortmund,1,2,2
77443,2026-02-07T14:30:00Z,2025,21,98,FC St. Pauli,16,VfB Stuttgart,2,1,0
77444,2026-02-07T14:30:00Z,2025,21,199,1. FC Heidenheim 1846,100,Hamburger SV,0,2,2
77440,2026-02-07T17:30:00Z,2025,21,87,Borussia Mönchengladbach,6,Bayer 04 Leverkusen,1,1,1
77445,2026-02-08T14:30:00Z,2025,21,65,1. FC Köln,1635,RB Leipzig,1,2,2
77437,2026-02-08T16:30:00Z,2025,21,40,FC Bayern München,175,TSG Hoffenheim,5,1,0
77448,2026-02-13T19:30:00Z,2025,22,7,Borussia Dortmund,81,1. FSV Mainz 05,4,0,0
